course_id,university_id,subject_code,title,level,start_year,start_month,duration_years,location,entry_requirements,overview,modules,course_url
C_IRL001_01,IRL001,COMPUTER_SCIENCE,B.A. (Mod) Computer Science,UG,2026,September,4 Years,Main Campus Dublin,600 CAO Points; IELTS 6.5; Math H4,Foundational software and hardware engineering at Ireland's top university.,"Algorithms, AI, Software Engineering, Architecture",www.tcd.ie
C_IRL001_02,IRL001,BUSINESS_MANAGEMENT,Bachelor in Business Studies (B.B.S.),UG,2026,September,4 Years,Trinity Business School,555 CAO Points; IELTS 6.5,Triple-accredited program focusing on global management and innovation.,"Marketing, Finance, Organizational Behaviour, Ethics",www.tcd.ie
C_IRL001_03,IRL001,LAW,LL.B. Law,UG,2026,September,4 Years,Main Campus Dublin,580 CAO Points; IELTS 6.5,Ireland's most prestigious law degree focusing on critical legal theory.,"Contract Law, Criminal Law, Constitutional Law, Torts",www.tcd.ie
C_IRL001_04,IRL001,DATA_SCIENCE,M.Sc. Computer Science - Data Science,PGT,2026,September,1 Year,Main Campus Dublin,2.1 Honors in Computing/Math; IELTS 6.5,Advanced machine learning and large-scale data systems.,"Scalable Computing, Applied Statistics, Machine Learning",www.tcd.ie
C_IRL001_05,IRL001,FINANCE,M.Sc. Finance,PGT,2026,September,1 Year,Trinity Business School,2.1 Honors in quantitative field; IELTS 6.5,Ranked #1 in Ireland for investment and corporate finance study.,"Derivatives, Investment Analysis, Corporate Finance",www.tcd.ie
C_IRL001_06,IRL001,MEDICINE,MB BCh BAO Medicine,UG,2026,September,5 Years,Dublin Hospitals,730+ (CAO+HPAT); IELTS 7.0; Chemistry H4,Comprehensive clinical and biological medical training.,"Anatomy, Physiology, Pharmacology, Clinical Skills",www.tcd.ie
C_IRL001_07,IRL001,PSYCHOLOGY,B.A. (Mod) Psychology,UG,2026,September,4 Years,Main Campus Dublin,570 CAO Points; IELTS 6.5,Accredited by PSI; covers all core areas of psychological science.,"Cognition, Social Psychology, Developmental Psychology",www.tcd.ie
C_IRL001_08,IRL001,PHARMACY,B.Sc. (Pharm) / M.Pharm Integrated,UG,2026,September,5 Years,School of Pharmacy,590 CAO Points; IELTS 7.0; H4 Chemistry,Five-year path to professional pharmacist registration.,"Medicinal Chemistry, Pharmaceutics, Clinical Pharmacy",www.tcd.ie
C_IRL001_09,IRL001,ACCOUNTING,M.Sc. Accounting & Analytics,PGT,2026,September,1 Year,Trinity Business School,2.1 Business degree; IELTS 6.5,Advanced accounting for global corporate environments.,"Financial Reporting, Audit, Taxation, Governance",www.tcd.ie
C_IRL001_10,IRL001,DENTISTRY,Bachelor in Dental Science,UG,2026,September,5 Years,Dental Hospital,625 CAO Points; IELTS 7.0; H4 Chem/Bio,Professional training for dental surgeons and clinicians.,"Oral Surgery, Orthodontics, Restorative Dentistry",www.tcd.ie
C_IRL001_11,IRL001,BIOCHEMISTRY,B.A. (Mod) Biochemistry,UG,2026,September,4 Years,Science Building,540 CAO Points; IELTS 6.5,Molecular study of life processes and chemical biology.,"Proteins, Metabolism, Immunology, Cell Biology",www.tcd.ie
C_IRL001_12,IRL001,HISTORY,B.A. (Mod) History,UG,2026,September,4 Years,Main Campus Dublin,520 CAO Points; IELTS 6.5,Critical analysis of the human past across all eras.,"Medieval History, Irish History, Modern Europe",www.tcd.ie
C_IRL001_13,IRL001,ENGLISH_LITERATURE,B.A. (Mod) English Literature,UG,2026,September,4 Years,Main Campus Dublin,545 CAO Points; IELTS 6.5,Broad study of literature from medieval to contemporary.,"Shakespeare, Romanticism, Modernism, Post-colonialism",www.tcd.ie
C_IRL001_14,IRL001,ECONOMICS,M.Sc. Economics,PGT,2026,September,1 Year,Main Campus Dublin,2.1 in Economics/Math; IELTS 6.5,Rigorous training in economic theory and econometrics.,"Microeconomics, Macroeconomics, Econometrics",www.tcd.ie
C_IRL001_15,IRL001,PHILOSOPHY,B.A. (Mod) Philosophy,UG,2026,September,4 Years,Main Campus Dublin,500 CAO Points; IELTS 6.5,Analytical training in the history of western thought.,"Ethics, Logic, Metaphysics, Political Philosophy",www.tcd.ie
C_IRL001_16,IRL001,NURSING,B.Sc. Nursing (General),UG,2026,September,4 Years,D'Olier St,440 CAO Points; IELTS 7.0,Professional nurse registration with Bord Altranais.,"Surgical Nursing, Anatomy, Community Health",www.tcd.ie
C_IRL001_17,IRL001,MECHANICAL_ENGINEERING,B.A.I. Mechanical & Manufacturing Engineering,UG,2026,September,4 Years,Engineering Building,550 CAO Points; IELTS 6.5; H4 Math,Design and manufacturing of mechanical and thermal systems.,"Thermodynamics, Fluid Mechanics, Control Systems",www.tcd.ie
C_IRL001_18,IRL001,PHYSIOTHERAPY,B.Sc. Physiotherapy,UG,2026,September,4 Years,St James's Hospital,590 CAO Points; IELTS 7.0; Two Science H4,Accredited professional training in physical rehabilitation.,"Biomechanics, Kinesiology, Clinical Placement",www.tcd.ie
C_IRL001_19,IRL001,GENETICS,B.A. (Mod) Genetics,UG,2026,September,4 Years,Smurfit Institute,560 CAO Points; IELTS 6.5,Study of inheritance and variation in living organisms.,"Evolution, Genomics, Molecular Genetics",www.tcd.ie
C_IRL001_20,IRL001,SOCIAL_WORK,Master in Social Work,PGT,2026,September,2 Years,Main Campus Dublin,2.1 Degree + Experience; IELTS 7.0,Professional CORU-registered social work qualification.,"Child Protection, Mental Health, Social Policy",www.tcd.ie
C_IRL001_21,IRL001,THEOLOGY,B.A. (Mod) Religion,UG,2026,September,4 Years,Main Campus Dublin,440 CAO Points; IELTS 6.5,Exploring world religions and theological thought.,"Ethics, World Religions, Biblical Studies",www.tcd.ie
C_IRL001_22,IRL001,ARCHITECTURE,B.A. History of Art & Architecture,UG,2026,September,5 Years,Dublin Architecture School,570 CAO Points; Portfolio; IELTS 6.5,Design-led professional training for architects.,"Design Studio, Technology, History of Architecture",www.tcd.ie
C_IRL001_23,IRL001,DIGITAL_MARKETING,M.Sc. Digital Marketing Strategy,PGT,2026,September,1 Year,Trinity Business School,2.1 Honors degree; IELTS 6.5,"Focus on social media, SEO, and digital e-commerce.","Social Media, Analytics, Brand Strategy",www.tcd.ie
C_IRL001_24,IRL001,BIOENGINEERING,M.Sc. Biomedical Engineering,PGT,2026,September,1 Year,Engineering Building,2.1 Honors in Engineering; IELTS 6.5,Advanced design of medical devices and tissue engineering.,"Biomaterials, Biomechanics, Neural Engineering",www.tcd.ie
C_IRL001_25,IRL001,EDUCATION,Master in Education (M.Ed.),PGT,2026,September,1 Year,Museum Building,2.1 Degree + Teaching Qualification; IELTS 6.5,Specialist research tracks for professional educators.,"Leadership, Inclusion, Digital Learning",www.tcd.ie
C_IRL001_26,IRL001,CIVIL_ENGINEERING,B.A.I. Civil Engineering,UG,2026,September,4 Years,Engineering Building,550 CAO Points; IELTS 6.5; H4 Mathematics.,"Design and construction of the built environment, focusing on sustainability and structural integrity.","Structures, Hydraulics, Soil Mechanics, Transportation Engineering, Surveying",www.tcd.ie
C_IRL001_27,IRL001,BIOLOGY,B.A. (Mod) Biological and Biomedical Sciences,UG,2026,September,4 Years,Science Gallery Building,560 CAO Points; IELTS 6.5; H4 in two sciences.,"A broad entry stream leading to specializations in physiology, molecular medicine, and neuroscience.","Chemistry, Mathematics, Biology, Physics, Statistics",www.tcd.ie
C_IRL001_28,IRL001,CLASSICS,B.A. (Mod) Classics Ancient History and Archaeology,UG,2026,September,4 Years,Main Campus Dublin,500 CAO Points; IELTS 6.5.,"Study of the languages, literature, and material culture of ancient Greece and Rome.","Greek and Latin Language, Greek History, Roman History, Mythology, Classical Archaeology",www.tcd.ie
C_IRL001_29,IRL001,NUTRITION,B.Sc. Human Nutrition and Dietetics,UG,2026,September,4 Years,Main Campus Dublin,590 CAO Points; IELTS 7.0; H4 in Chemistry and Biology.,Joint program with TU Dublin focusing on the science of nutrition and clinical dietetic practice.,"Clinical Nutrition, Biochemistry, Physiology, Professional Practice, Public Health Nutrition",www.tcd.ie
C_IRL001_30,IRL001,MARKETING,M.Sc. Marketing,PGT,2026,September,1 Year,Trinity Business School,2.1 degree in any discipline; IELTS 6.5.,Designed for graduates to build strategic and digital marketing skills in a global context.,"Consumer Behaviour, Marketing Strategy, Brand Management, Market Research, Digital Marketing",www.tcd.ie
