course_id,university_id,subject_code,title,level,start_year,start_month,duration_years,location,entry_requirements,overview,modules,course_url
"C_TCD001_RES_AH","IRL001","ARTS","M.Phil. (Research) - Arts & Humanities","MRes","2026","September","2 Years","Main Campus Dublin","2.1 Honors degree; Research Proposal (2000 words); IELTS 6.5","Independent research degree across Schools of Histories; Languages; and Creative Arts.","Research Methodology, Thesis","www.tcd.ie"
"C_TCD001_RES_SCI","IRL001","BIOLOGY","M.Sc. (Research) - Science & STEM","MRes","2026","September","2 Years","Main Campus Dublin","2.1 Honors degree; Research Proposal; Supervisor Support; IELTS 6.5","Research-focused Masters in Physics, Chemistry, and Natural Sciences.","Scientific Communication, Research Ethics, Thesis","www.tcd.ie"
"C_TCD001_RES_MED","IRL001","MEDICAL_SCIENCES","M.Sc. (Research) - Health Sciences","MRes","2026","September","2 Years","Main Campus Dublin","2.1 Honors degree; Research Proposal; IELTS 7.0","Specialized research within the School of Medicine or Dental Science.","Bioethics, Clinical Research Skills, Thesis","www.tcd.ie"
"C_TCD001_RES_REL","IRL001","THEOLOGY","M.Litt. (Research) - Religion","MRes","2026","September","2 Years","Main Campus Dublin","2.1 Honors degree; Research Proposal; IELTS 6.5","Specialized research degree for the School of Religion; Theology and Peace Studies.","Theological Research Methods, Thesis","www.tcd.ie"
"C_TCD001_RES_ENG","IRL001","ENGINEERING","M.Sc. (Research) - Engineering & Computer Science","MRes","2026","September","2 Years","Main Campus Dublin","2.1 Honors degree; Technical Research Proposal; IELTS 6.5","Advanced research in AI; Networks; and Sustainable Engineering Systems.","Advanced Research Methods, Thesis","www.tcd.ie"
"C_TCD001_RES_BUS","IRL001","BUSINESS","M.Sc. (Research) - Business Studies","MRes","2026","September","2 Years","Main Campus Dublin","2.1 Honors degree; Research Proposal; GMAT/GRE may be required; IELTS 7.0","Advanced research program focusing on Management, Finance, and Marketing at Trinity Business School.","Research Methods in Business, Thesis","www.tcd.ie"
"C_UCD002_RES_AG","IRL002","AGRICULTURE","MSc (Research) Agriculture and Food Science","MRes","2026","September","2 Years","Belfield Campus","2.1 Honors degree; Preliminary research proposal; Supervisor support; IELTS 6.5","Advanced research in sustainable food systems; animal science; and crop science.","Research Professional Development, Thesis","www.ucd.ie"
"C_UCD002_RES_ENG","IRL002","CIVIL_ENGINEERING","MEngSc (Research) Engineering","MRes","2026","September","2 Years","Belfield Campus","2.1 Honors degree in Engineering or related; Supervisor agreement; IELTS 6.5","Research covering Civil; Mechanical; Electrical; and Biosystems engineering.","Technical Writing, Research Ethics, Thesis","www.ucd.ie"
"C_UCD002_RES_BUS","IRL002","BUSINESS_MANAGEMENT","MPhil (Research) Business","MRes","2026","September","2 Years","Smurfit School","1.1 Honors degree; 2000-word Research Proposal; Two Academic References; IELTS 7.0","High-level specialized research in finance; marketing; or organizational behavior.","Quantitative Methods, Literature Review, Thesis","www.smurfitschool.ie"
"C_UCD002_RES_HUM","IRL002","HUMANITIES","MLitt (Research) Humanities","MRes","2026","September","2 Years","Belfield Campus","2.1 Honors degree; Research Proposal; IELTS 6.5","Specialized research degree for History; English; Drama; and Philosophy schools.","Humanities Research Skills, Thesis","www.ucd.ie"
"C_UCD002_RES_SCI","IRL002","SCIENCE","MSc (Research) Science","MRes","2026","September","2 Years","Belfield Campus","2.1 Honors degree; Supervisor agreement; IELTS 6.5","Independent research projects in Biology; Chemistry; Physics; and Mathematics.","Scientific Data Analysis, Research Seminars, Thesis","www.ucd.ie"
"C_UCD002_RES_MED","IRL002","HEALTH_SCIENCES","MSc (Research) Medicine & Health Sciences","MRes","2026","September","2 Years","Belfield Campus","2.1 Honors degree in health/science; Research Proposal; IELTS 7.0","Advanced laboratory or clinical research within the School of Medicine and Nursing.","Clinical Research Ethics, Data Analysis, Thesis","www.ucd.ie"
"C_UCC009_RES_01","IRL009","BIOCHEMISTRY","MRes Biochemistry and Biosciences","MRes","2026","September","1 Year","Main Campus Cork","2.1 Honors degree in Science; IELTS 6.5","Scientific; research-intensive course including three laboratory rotations.","Scientific Research Planning, Lab Rotations, Thesis","www.ucc.ie"
"C_UCC009_RES_02","IRL009","BIOLOGY","MRes Plant Biology","MRes","2026","September","1 Year","Main Campus Cork","2.1 Honors degree; IELTS 6.5","Focus on plant genetic engineering; sustainable food; and fungal biology.","Frontiers in Biology, Plant Genetics, Thesis","www.ucc.ie"
"C_UCC009_RES_03","IRL009","BIOENGINEERING","MRes Biochemistry and Cell Biology","MRes","2026","September","1 Year","Main Campus Cork","2.1 Honors degree in Biology or related; IELTS 6.5","Research in molecular microbial biotechnology and cell biology.","Molecular Techniques, Research Ethics, Thesis","www.ucc.ie"
"C_UCC009_RES_04","IRL009","ARTS","MRes Arts","MRes","2026","September","1 Year","Main Campus Cork","2.1 Honors degree; Research Proposal; IELTS 6.5","Research-led degree across 20+ disciplines including History and Philosophy.","Digital Skills, Research Methods, Thesis","www.ucc.ie"
"C_UCC009_RES_05","IRL009","SOCIAL_SCIENCE","MRes (Government and Public Policy)","MRes","2026","September","1 Year","Main Campus Cork","2.1 Honors degree; Research Proposal; IELTS 6.5","Specialized research training in Sociology; Politics; and Applied Social Studies.","Social Research Methods, Philosophy of Science, Thesis","www.ucc.ie"
"C_UCC009_RES_07","IRL009","GEOLOGY","MRes Geological Sciences","MRes","2026","September","1 Year","Main Campus Cork","2.1 Honors degree; IELTS 6.5","Research projects in environmental geology; geochemistry; and paleontology.","Research Methods, Analytical Techniques, Thesis","www.ucc.ie"
"C_UCC009_RES_08","IRL009","ENVIRONMENTAL_SCIENCE","MRes Sustainable Materials and the Environment","MRes","2026","September","1 Year","Main Campus Cork","2.1 Honors degree; IELTS 6.5","Focused research on materials for sustainability and environmental protection.","Green Chemistry, Material Science, Thesis","www.ucc.ie"
"C_UCC009_RES_09","IRL009","HEALTH_SCIENCES","MRes Health Professions Education","MRes","2026","September","1 Year","Main Campus Cork","2.1 Honors degree in Health; Access to teaching; IELTS 6.5","Research into educational practices and professional development in healthcare.","Advanced Research Methods, Thesis","www.ucc.ie"
"C_GAL011_RES_01","IRL011","MEDICAL_SCIENCES","MHSc (Research) Health Sciences","MRes","2026","September","2 Years","Galway Campus","2.1 Honors degree in Medicine/Health; Research Proposal; IELTS 6.5","Specialized research degree for healthcare professionals to lead clinical or laboratory investigations.","Research Ethics, Biostatistics for Researchers, Thesis","www.universityofgalway.ie"
"C_GAL011_RES_02","IRL011","MATHEMATICS","MSc (Research) Mathematics","MRes","2026","September","2 Years","Galway Campus","2.1 Honors degree in Math or related; Supervisor agreement; IELTS 6.5","Independent research in pure or applied mathematics; including numerical analysis.","Advanced Math Seminars, Research Skills, Thesis","www.universityofgalway.ie"
"C_GAL011_RES_03","IRL011","CLASSICS","MLitt (Research) Classics","MRes","2026","September","2 Years","Galway Campus","2.1 Honors degree; Research Proposal; IELTS 6.5","Focused research training in classical civilizations; Latin; and Ancient Greek languages.","Classics Research Methods, Paleography, Thesis","www.universityofgalway.ie"
"C_GAL011_RES_04","IRL011","BIOMEDICAL","MSc (Research) Regenerative Medicine","MRes","2026","September","2 Years","Galway Campus","2.1 Honors degree in Science/Engineering; Supervisor agreement; IELTS 6.5","Research-led degree focused on stem cell biology and gene therapy at REMEDI institute.","Cell Manufacturing, Ethics in Science, Thesis","www.universityofgalway.ie"
"C_GAL011_RES_05","IRL011","FILM_MEDIA","MPhil (Research) Film and Digital Media","MRes","2026","September","2 Years","Galway Campus","2.1 Honors degree; Portfolio/Research Proposal; IELTS 6.5","Practice-based or theoretical research in cinema; digital arts; and Irish media.","Media Research Methodologies, Thesis","www.universityofgalway.ie"
"C_GAL011_RES_06","IRL011","SOCIAL_SCIENCES","MSc (Research) Child, Youth and Family Studies","MRes","2026","September","2 Years","Galway Campus","2.1 Honors degree in Social Science or related; Research Proposal; IELTS 6.5","Advanced research-based study focusing on social policy and family dynamics at the UNESCO Child and Family Research Centre.","Social Research Methods, Children's Rights, Thesis","www.universityofgalway.ie"
"C_UL015_RES_01","IRL015","BIOLOGY","MSc (Research) Science & Engineering","MRes","2026","September","2 Years","Main Campus Limerick","2.1 Honors degree; Supervisor Support Form; Research Proposal; IELTS 6.5","Independent research projects in biological sciences; chemistry; or physics.","Generic Research Skills, Thesis Preparation","www.ul.ie"
"C_UL015_RES_02","IRL015","SOCIOLOGY","MA (Research) Arts, Humanities & Social Sciences","MRes","2026","September","2 Years","Main Campus Limerick","2.1 Honors degree; Supervisor Support Form; Research Proposal; IELTS 6.5","Research-based degree in history; sociology; politics; or linguistics.","Qualitative Methods, Ethics, Thesis","www.ul.ie"
"C_UL015_RES_03","IRL015","EDUCATION","MSc (Research) Education & Health Sciences","MRes","2026","September","2 Years","Main Campus Limerick","2.1 Honors degree; Supervisor Support Form; Research Proposal; IELTS 6.5","Research focused on pedagogy; nursing; clinical therapies; or sports science.","Health Research Methods, Thesis","www.ul.ie"
"C_UL015_RES_04","IRL015","BUSINESS_MANAGEMENT","MSc (Research) Kemmy Business School","MRes","2026","September","2 Years","Main Campus Limerick","2.1 Honors degree; Supervisor Support Form; Research Proposal; IELTS 6.5","Advanced research in economics; finance; marketing; or human resources.","Business Research Methods, Thesis","www.ul.ie"
"C_UL015_RES_05","IRL015","HEALTH_SCIENCES","MSc Health Research (Structured)","MRes","2026","September","1 Year","Main Campus Limerick","2.1 Honors degree; IELTS 6.5","Structured research training providing a foundation for clinical and health research.","Advanced Data Analysis, Systematic Review, Thesis","www.ul.ie"
"C_UL015_RES_06","IRL015","MUSIC_DANCE","MA (Research) Irish World Academy","MRes","2026","September","2 Years","Main Campus Limerick","2.1 Honors degree; Portfolio/Performance Audition; Research Proposal; IELTS 6.5","Practice-based or theoretical research in music; dance; or ritual chant.","Arts Research Methodologies, Thesis","www.ul.ie"
"C_MIC016_RES_01","IRL016","EDUCATION","MEd (Research)","MRes","2026","September","2 Years","Limerick Campus","2.1 Honors degree in Education or related; Research Proposal; IELTS 6.5","Independent research into pedagogical theory; leadership; or curriculum development.","Education Research Methods, Thesis","www.mic.ul.ie"
"C_MIC016_RES_02","IRL016","HUMANITIES","MA (Research) Arts","MRes","2026","September","2 Years","Limerick Campus","2.1 Honors degree; Research Proposal; IELTS 6.5","Advanced research in English; History; Philosophy; or Theology.","Research Skills for Humanities, Thesis","www.mic.ul.ie"
"C_MIC016_RES_03","IRL016","PSYCHOLOGY","MSc (Research) Psychology","MRes","2026","September","2 Years","Limerick Campus","2.1 Honors degree in Psychology; Research Proposal; IELTS 6.5","Specialized research track within the Department of Psychology at MIC.","Advanced Quantitative Methods, Thesis","www.mic.ul.ie"
"C_RCS017_RES_01","IRL017","MEDICAL_SCIENCES","MSc by Research (Medicine and Health Sciences)","MRes","2026","September","2 Years","St. Stephens Green Dublin","2.1 Honors degree; Supervisor agreement; 300-word Personal Statement; IELTS 7.0","Laboratory or clinical research in drug development; pharmacology; or molecular medicine.","Research Ethics, Biostatistics, Thesis","www.rcsi.com"
"C_RCS017_RES_02","IRL017","MEDICINE","Master of Surgery (MCh) by Research","MRes","2026","September","1 Year","St. Stephens Green Dublin","MB BCh BAO degree; 1-year Internship completed; RCSI Supervisor; IELTS 7.0","Specialized surgical research combining taught modules with a major research dissertation.","Research Methods, Ethics and Law, Thesis","www.rcsi.com"
"C_RCS017_RES_03","IRL017","NURSING","MSc by Research (Nursing & Midwifery)","MRes","2026","September","2 Years","St. Stephens Green Dublin","2.1 Honors degree in Nursing; Active professional registration; Supervisor agreement; IELTS 7.0","Investigation into clinical nursing practice; patient safety; or healthcare policy.","Advanced Research Methods, Systematic Review, Thesis","www.rcsi.com"
"C_RCS017_RES_04","IRL017","PHARMACY","MSc by Research (Pharmacy)","MRes","2026","September","2 Years","St. Stephens Green Dublin","2.1 Honors degree in Pharmacy or related science; Supervisor agreement; IELTS 7.0","Advanced research focused on pharmaceutical sciences; drug delivery; and clinical pharmacy.","Drug Development Process, Research Ethics, Thesis","www.rcsi.com"
"C_MAY018_RES_01","IRL018","ANTHROPOLOGY","MLitt (Research) Anthropology","MRes","2026","September","2 Years","Main Campus Maynooth","2.1 Honors degree; Research Proposal; Supervisor Statement; IELTS 6.5","Ethnographic research training including independent fieldwork and theory analysis.","Ethnographic Methods, Literature Review, Thesis","www.maynoothuniversity.ie"
"C_MAY018_RES_02","IRL018","BIOLOGY","MSc (Research) Biology","MRes","2026","September","2 Years","Main Campus Maynooth","2.1 Honors degree; Supervisor agreement; IELTS 6.5","Specialized laboratory research in immunology; genetics; or environmental biology.","Scientific Writing, Research Integrity, Thesis","www.maynoothuniversity.ie"
"C_MAY018_RES_03","IRL018","COMPUTER_SCIENCE","MSc (Research) Computer Science","MRes","2026","September","2 Years","Main Campus Maynooth","2.1 Honors degree; Supervisor agreement; IELTS 6.5","Independent research into AI; software engineering; and data science.","Research Methods, Thesis","www.maynoothuniversity.ie"
"C_MAY018_RES_04","IRL018","ECONOMICS","MLitt (Research) Economics","MRes","2026","September","2 Years","Main Campus Maynooth","2.1 Honors degree; Research Proposal; IELTS 6.5","Economic research utilizing quantitative analysis; econometrics; and primary data sets.","Econometrics, Research Workshop, Thesis","www.maynoothuniversity.ie"
"C_MAY018_RES_05","IRL018","HISTORY","MLitt (Research) History","MRes","2026","September","2 Years","Main Campus Maynooth","2.1 Honors degree; Research Proposal; IELTS 6.5","In-depth historical study across Irish; European; or Global history.","Historiography, Research Skills, Thesis","www.maynoothuniversity.ie"
"C_MAY018_RES_06","IRL018","GEOCOMPUTATION","MSc (Research) Geocomputation","MRes","2026","September","2 Years","Main Campus Maynooth","2.1 Honors degree in Geography or CS; Supervisor agreement; IELTS 6.5","Specialized research in spatial data; GIS; and urban modelling.","Spatial Literacy, Research Methods, Thesis","www.maynoothuniversity.ie"
"C_MAY018_RES_07","IRL018","GEOGRAPHY","MSc (Research) Geography","MRes","2026","September","2 Years","Main Campus Maynooth","2.1 Honors degree; Research Proposal; Supervisor Support; IELTS 6.5","Specialized research in physical or human geography, including environmental change and urban studies.","Geographical Research Methods, Thesis","www.maynoothuniversity.ie"
"C_MAY018_RES_08","IRL018","SOCIOLOGY","MLitt (Research) Sociology","MRes","2026","September","2 Years","Main Campus Maynooth","2.1 Honors degree; Research Proposal; IELTS 6.5","Independent research focusing on social movements, gender, or political sociology.","Sociological Research Methods, Thesis","www.maynoothuniversity.ie"
"C_IAD019_RES_01","IRL019","DESIGN","MA by Research (Creative Arts & Design)","MRes","2026","September","2 Years","Dun Laoghaire Campus","2.1 Honors degree; Portfolio; Research Proposal; IELTS 6.5","Practice-based research in visual communication; design; or fine art.","Research Methodologies, Thesis","www.iadt.ie"
"C_IAD019_RES_02","IRL019","COMPUTER_SCIENCE","MSc by Research (Creative Technologies)","MRes","2026","September","2 Years","Dun Laoghaire Campus","2.1 Honors degree; Research Proposal; IELTS 6.5","Technical research in AI; data science; or human-computer interaction (HCI).","Technical Research Skills, Thesis","www.iadt.ie"
"C_IAD019_RES_03","IRL019","FILM_MEDIA","MA by Research (Film, Art & Creative Media)","MRes","2026","September","2 Years","Dun Laoghaire Campus","2.1 Honors degree; Portfolio of Work; Research Proposal; IELTS 6.5","Specialized research through practice at the National Film School (NFS).","Advanced Media Research, Thesis","www.iadt.ie"
"C_IAD019_RES_04","IRL019","PSYCHOLOGY","MSc by Research (Psychology)","MRes","2026","September","2 Years","Dun Laoghaire Campus","2.1 Honors degree in Psychology; Supervisor agreement; IELTS 6.5","Research focused on Cyberpsychology; User Experience; and Human Behaviour.","Psychological Research Methods, Thesis","www.iadt.ie"
"C_IAD019_RES_05","IRL019","BUSINESS","MBus by Research (Business & Humanities)","MRes","2026","September","2 Years","Dun Laoghaire Campus","2.1 Honors degree; Research Proposal; IELTS 6.5","Research projects in digital entrepreneurship, arts management, or cultural event management.","Business Research Methods, Thesis","www.iadt.ie"
"C_DCU020_RES_BUS","IRL020","BUSINESS_MANAGEMENT","Masters by Research (Business)","MRes","2026","September","2 Years","DCU Business School","2.1 Honors degree; Research Proposal; IELTS 6.5","Advanced research in marketing, HR, finance, or digital business.","Research Integrity, Thesis","www.dcu.ie"
"C_DCU020_RES_SCI","IRL020","BIOLOGY","Masters by Research (Science & Health)","MRes","2026","September","2 Years","Glasnevin Campus","2.1 Honors degree; Supervisor agreement; IELTS 6.5","Research in biotechnology, physical sciences, or health and human performance.","Research Ethics, Thesis","www.dcu.ie"
"C_DCU020_RES_ENG","IRL020","CIVIL_ENGINEERING","Masters by Research (Engineering & Computing)","MRes","2026","September","2 Years","Glasnevin Campus","2.1 Honors degree; Supervisor agreement; IELTS 6.5","Research in mechanical, electronic, or computing and software systems.","Technical Writing, Thesis","www.dcu.ie"
"C_DCU020_RES_HUM","IRL020","SOCIOLOGY","Masters by Research (Humanities & Social Sciences)","MRes","2026","September","2 Years","Glasnevin Campus","2.1 Honors degree; Research Proposal; IELTS 6.5","Research in history, communications, sociology, or law.","Social Research Methods, Thesis","www.dcu.ie"
"C_DCU020_RES_EDU","IRL020","EDUCATION","Masters by Research (Education)","MRes","2026","September","2 Years","St. Patrick's Campus","2.1 Honors degree in Education; Research Proposal; IELTS 6.5","Scholarly research into pedagogical theories and educational policy.","Education Research Skills, Thesis","www.dcu.ie"
