course_id,university_id,subject_code,title,level,start_year,start_month,duration_years,location,entry_requirements,overview,modules,course_url
C_TCD001_RES_GEN,IRL001,ARTS,Master in Philosophy (Research) - Arts & Humanities,MRes,2026,September,2 Years,Main Campus Dublin,2.1 Honors degree; Research Proposal; IELTS 6.5,Independent research degree for humanities and arts subjects.,"Research Skills, Thesis Preparation",www.tcd.ie/courses/postgraduate/postgraduate-research/
C_TCD001_RES_SCI,IRL001,BIOLOGY,M.Sc. by Research - Science & STEM,MRes,2026,September,2 Years,Main Campus Dublin,2.1 Honors degree; Research Proposal; IELTS 6.5,"Research-focused Masters in Life Sciences, Chemistry, and Physics.","Scientific Writing, Research Seminar, Thesis",www.tcd.ie/courses/postgraduate/postgraduate-research/
C_TCD001_RES_MED,IRL001,MEDICAL_SCIENCES,M.Sc. by Research - Health Sciences,MRes,2026,September,2 Years,Main Campus Dublin,2.1 Honors degree; Research Proposal; IELTS 7.0,Clinical or laboratory-based medical research.,"Bioethics, Biostatistics, Thesis",www.tcd.ie/medicine/postgraduate/research/
C_UCD002_RES_AG,IRL002,AGRICULTURE,M.Sc. Agriculture and Food Science (Research),MRes,2026,May,2 Years,Belfield Campus,2.1 Honors degree; Supervisor agreement; IELTS 6.5,Advanced research in sustainable food systems and animal science.,"Research Professional Development, Thesis",www.ucd.ie/agfood/study/graduateresearchprogrammes/
C_UCD002_RES_ENG,IRL002,CIVIL_ENGINEERING,M.Eng.Sc. (Research) Engineering,MRes,2026,September,2 Years,Belfield Campus,2.1 Honors degree in Engineering; Supervisor agreement; IELTS 6.5,"Research covering Civil, Mechanical, and Electrical engineering.","Technical Writing, Lab Safety, Thesis",www.ucd.ie/engineering/study/graduateresearch/
C_UCD002_RES_BUS,IRL002,BUSINESS_MANAGEMENT,M.Phil. (Research) Business,MRes,2026,September,2 Years,Smurfit School,First Class Honors; Research Proposal; IELTS 7.0,"High-level research in finance, marketing, or management.","Quantitative Methods, Literature Review, Thesis",www.smurfitschool.ie/programmes/res/
C_UCC009_RES_01,IRL009,BIOCHEMISTRY,MRes Biochemistry and Biosciences,MRes,2026,September,1 Year,Main Campus Cork,2.1 Honors degree in Science; IELTS 6.5,"Scientific, research-intensive course including laboratory rotations.","Scientific Research Planning, Lab Rotations, Thesis",www.ucc.ie/en/mres/
C_UCC009_RES_02,IRL009,BIOLOGY,MRes Plant Biology,MRes,2026,September,1 Year,Main Campus Cork,2.1 Honors degree; IELTS 6.5,Focus on plant genetic engineering and sustainable food production.,"Frontiers in Biology, Plant Genetics, Thesis",ucc-ie-public.courseleaf.com/programmes/mrespb/
C_UCC009_RES_03,IRL009,BIOENGINEERING,MRes Biotechnological Engineering,MRes,2026,September,1 Year,Main Campus Cork,2.1 Honors degree in Eng; IELTS 6.5,Research in molecular microbial biotechnology and bioprocess engineering.,"Bioprocess Engineering, Molecular Techniques, Thesis",ucc-ie-public.courseleaf.com/programmes/mresbe/
C_UCC009_RES_04,IRL009,ARTS,MRes Arts (Humanities),MRes,2026,September,1 Year,Main Campus Cork,2.1 Honors degree; Research Proposal; IELTS 6.5,Research-led degree across 20+ disciplines including History and Philosophy.,"Digital Skills, Research Methods, Thesis",www.ucc.ie/en/mres-arts/
C_GAL011_RES_01,IRL011,MEDICAL_SCIENCES,M.Sc. Clinical Research,MRes,2026,September,1 Year,Galway Campus,2.1 Honors degree in Medicine/Health; IELTS 6.5,Empowers healthcare professionals to lead medical research.,"Introduction to Biostatistics, Ethical Frameworks, Thesis",www.universityofgalway.ie/courses/taught-postgraduate-courses/clinical-research.html
