course_id,university_id,subject_code,title,level,start_year,start_month,duration_years,location,entry_requirements,overview,modules,course_url
C_ICD003_01,IRL003,ACCOUNTING,BA (Hons) in Accounting & Finance (Top-up),Topup,2026,September,1 Year,Dublin City,"Level 7 Degree in Business/Accounting; IELTS 6.0","A one-year intensive programme for students with a professional accounting background to gain an honours degree.","Advanced Financial Accounting, Strategic Management Accounting, Corporate Governance",icd.ie/ba-hons-accounting-finance/
C_ACD004_01,IRL004,BUSINESS_ADMINISTRATION,BA (Hons) in Business (Top-up),Topup,2026,September,1 Year,Dublin Campus,"Level 7 Business Diploma; IELTS 6.0","Dual-accredited (US/Ireland) final year program focusing on international management.","International Business, Entrepreneurship, Strategic Management",acd.iamu.edu/programs/ba-honours-in-business/
C_GRI005_01,IRL005,BUSINESS_MANAGEMENT,BA (Hons) in Business (Top-up),Topup,2026,September,1 Year,Dublin Main Campus,"Level 7 Degree in Business/related; IELTS 6.0","A comprehensive final year to convert a level 7 diploma into a full Level 8 Honours degree.","Strategic Management, Business Plan, International Marketing",www.griffith.ie/courses/ba-hons-business-top-up
C_GRI005_02,IRL005,ACCOUNTING,BA (Hons) in Accounting and Finance (Top-up),Topup,2026,September,1 Year,Dublin Main Campus,"Level 7 in Accounting or equivalent; IELTS 6.0","Specialised final year focusing on professional accounting standards and financial strategy.","Advanced Financial Accounting, Audit and Assurance, Taxation",www.griffith.ie/courses/ba-hons-accounting-and-finance-top-up
C_GRI005_03,IRL005,COMPUTER_SCIENCE,BSc (Hons) in Computing (Top-up),Topup,2026,September,1 Year,Dublin Main Campus,"Level 7 in Computing/IT; IELTS 6.0","Advanced entry program for technical students looking to specialise in software or networks.","Distributed Systems, Mobile Development, Security and Cryptography",www.griffith.ie/courses/bsc-hons-computing-top-up
C_DBS006_01,IRL006,BUSINESS_MANAGEMENT,BA (Hons) in Business (Top-up),Topup,2026,September,1 Year,Aungier Street Dublin,"Level 7 in Business; IELTS 6.0","One-year intensive path to an honours degree with multiple specialisation options.","Strategic Management, Global Business, Ethics and Corporate Governance",www.dbs.ie/courses/ba-hons-business-top-up
C_DBS006_03,IRL006,MARKETING,BA (Hons) in Marketing (Top-up),Topup,2026,September,1 Year,Aungier Street Dublin,"Level 7 in Business/Marketing; IELTS 6.0","Specialized one-year top-up focusing on digital strategy and consumer behavior.","Services Marketing, Digital Media, Integrated Marketing Communications",www.dbs.ie/courses/ba-hons-marketing-top-up
C_DBS006_02,IRL006,PSYCHOLOGY,BA (Hons) in Psychology (Top-up),Topup,2026,September,1 Year,Aungier Street Dublin,"Level 7 in Psychology or related; IELTS 6.0","An add-on year for students to achieve an honours level qualification in psychological science.","Cognitive Psychology, Biological Psychology, Research Project",www.dbs.ie/courses/ba-hons-psychology-top-up
C_DKIT007_01,IRL007,COMPUTER_SCIENCE,BSc (Hons) in Computing (Top-up),Topup,2026,September,1 Year,Dundalk Campus,"Level 7 Computing degree; IELTS 6.0","The final year of the honours degree for students transitioning from ordinary degree programs.","Data Analytics, Artificial Intelligence, Agile Methodologies",www.dkit.ie/courses/bsc-hons-computing-add-on
C_DKIT007_02,IRL007,HOSPITALITY_MANAGEMENT,BA (Hons) in Hospitality Management (Top-up),Topup,2026,September,1 Year,Dundalk Campus,"Level 7 Hospitality/Tourism; IELTS 6.0","A specialized final year for managers in the hospitality and leisure sector.","Strategic Management, Financial Management, Applied Research Project",www.dkit.ie/courses/ba-hons-hospitality-management-add-on
C_UCC009_01,IRL009,NURSING,BSc (Hons) Nursing Studies (Top-up),Topup,2026,September,1 Year,Cork Campus,"Registered Nurse Qualification; IELTS 6.5","A post-registration degree for registered nurses to upgrade to a Level 8 Honours degree.","Research Methods, Nursing Management, Clinical Governance",www.ucc.ie/en/nursingstudies/
C_DOR010_01,IRL010,BUSINESS_MANAGEMENT,Bachelor of Business (Hons) (Top-up),Topup,2026,September,1 Year,Dublin Campus,"Level 7 Degree in Business; IELTS 6.0","A one-year add-on programme designed to enhance strategic thinking and management skills for global business.","Strategic Management, International Marketing, Financial Management",dorset.ie/business/ba-hons-business-top-up/
C_DOR010_02,IRL010,INTERNATIONAL_BUSINESS,BA (Hons) in International Business (Top-up),Topup,2026,September,1 Year,Dublin Campus,"Level 7 in Business or related; IELTS 6.0","Focused on global trade, logistics, and international market entry strategies.","Global Supply Chain Management, International Trade Law, Cross-Cultural Management",dorset.ie/business/ba-hons-international-business-top-up/
C_MTU012_01,IRL012,HOSPITALITY_MANAGEMENT,BA (Hons) in Hospitality Management (Add-on),Topup,2026,September,1 Year,Bishopstown Cork,"Level 7 in Hospitality or Tourism; IELTS 6.0","Prepares graduates for senior management roles within the international tourism and hospitality sector.","Strategic Hospitality Management, Revenue Management, Advanced Research Methods",www.mtu.ie/courses/ba-hons-hospitality-management-add-on
C_MTU012_02,IRL012,ACCOUNTING,BSc (Hons) in Accounting (Add-on),Topup,2026,September,1 Year,Bishopstown Cork,"Level 7 Degree in Accounting; IELTS 6.0","A professional-track final year providing exemptions from key professional accounting bodies.","Advanced Financial Accounting, Auditing, Strategic Performance Management",www.mtu.ie/courses/bsc-hons-accounting-add-on
C_MTU012_03,IRL012,COMPUTER_SCIENCE,BSc (Hons) in Software Development (Add-on),Topup,2026,September,1 Year,Bishopstown Cork,"Level 7 in Computing or Software; IELTS 6.0","Technical final year focusing on high-level software engineering and cloud systems.","Distributed Systems, Scalable Computing, Advanced Software Project",www.mtu.ie/courses/bsc-hons-software-development-add-on
C_ATU013_01,IRL013,COMPUTER_SCIENCE,BSc (Hons) in Computer Science (Add-on),Topup,2026,September,1 Year,Letterkenny Campus,"Level 7 in Computing; IELTS 6.0","A technical final year focused on emerging technologies and software engineering.","Distributed Systems, AI, Mobile App Development",www.atu.ie/courses/bsc-hons-computer-science-add-on
C_ATU013_02,IRL013,BUSINESS_MANAGEMENT,BA (Hons) in Business (Add-on),Topup,2026,September,1 Year,Letterkenny Campus,"Level 7 Business Degree; IELTS 6.0","Develops leadership and strategy skills for modern management roles.","Strategic Management, International Business, Corporate Governance",www.atu.ie/courses/ba-hons-business-add-on
C_ATU013_03,IRL013,TOURISM_MANAGEMENT,BA (Hons) in Tourism Management (Add-on),Topup,2026,September,1 Year,Killybegs Campus,"Level 7 Tourism/Hospitality; IELTS 6.0","Advanced management training for leadership roles in global tourism.","Tourism Policy, Strategic Marketing, Sustainability",www.atu.ie/courses/ba-hons-tourism-management-add-on
C_CCT014_01,IRL014,COMPUTER_SCIENCE,BSc (Hons) in Computing & IT (Add-on),Topup,2026,September,1 Year,Dublin City Centre,"Level 7 in IT/Computing; IELTS 6.0","Practical final year focusing on cloud and networking technologies.","Cloud Computing, Network Security, IT Project Management",www.cct.ie/computing/bsc-hons-computing-it-topup/
