ranking_id,university_id,academic_year,overall,arts_humanities,life_sciences_medicine,engineering_technology,natural_science,social_sciences_management,staff_student_ratio,international_students_ratio,graduate_prospects,student_satisfaction,world_ranking
R_IRL001_2026,IRL001,2026,98.5,91,152,140,110,95,12.4,31.0,89.0,84.5,75
R_IRL002_2026,IRL002,2026,94.2,120,180,165,145,115,15.2,34.0,93.0,81.0,118
R_IRL017_2026,IRL017,2026,92.0,0,160,0,0,0,8.5,35.0,96.5,90.0,160
R_IRL009_2026,IRL009,2026,88.4,240,210,280,260,250,16.0,22.0,87.0,83.0,246
R_IRL011_2026,IRL011,2026,87.1,210,185,240,220,195,14.8,24.5,88.0,82.0,284
R_IRL015_2026,IRL015,2026,84.3,320,290,180,310,250,15.5,18.0,91.5,84.0,401
R_IRL020_2026,IRL020,2026,83.8,340,310,240,320,210,15.8,22.0,89.5,83.5,410
R_IRL027_2026,IRL027,2026,81.0,380,0,285,340,310,17.2,21.5,88.5,82.5,580
R_IRL018_2026,IRL018,2026,79.5,280,0,0,350,220,16.2,14.5,85.0,80.0,771
R_IRL008_2026,IRL008,2026,75.2,180,0,0,0,0,14.0,15.0,91.0,88.0,3800
R_IRL016_2026,IRL016,2026,73.8,450,0,0,0,0,13.2,8.0,94.0,89.0,2800
R_IRL026_2026,IRL026,2026,71.5,0,0,340,0,450,21.0,13.0,84.5,80.0,2300
R_IRL023_2026,IRL023,2026,69.8,0,0,380,0,0,20.0,11.5,83.0,78.5,2450
R_IRL013_2026,IRL013,2026,69.2,0,0,0,0,0,21.0,10.0,81.0,79.0,2619
R_IRL022_2026,IRL022,2026,68.9,0,0,420,0,0,21.5,12.0,82.5,79.5,2619
R_IRL019_2026,IRL019,2026,67.5,380,0,0,0,0,15.0,10.5,88.0,86.0,3200
R_IRL007_2026,IRL007,2026,66.4,0,0,0,0,0,16.5,12.0,83.0,80.0,4100
R_IRL021_2026,IRL021,2026,65.0,0,0,0,0,380,19.0,38.0,84.0,81.0,4600
R_IRL005_2026,IRL005,2026,62.1,0,0,0,0,0,22.0,28.0,80.0,77.0,8142
R_IRL006_2026,IRL006,2026,61.8,0,0,0,0,0,20.0,30.0,81.0,76.0,7895
R_IRL012_2026,IRL012,2026,60.5,0,0,350,0,0,19.5,12.5,82.0,78.0,14474
R_IRL025_2026,IRL025,2026,58.3,420,0,0,0,0,12.0,7.5,79.0,82.0,11200
R_IRL014_2026,IRL014,2026,57.9,0,0,0,0,0,18.0,42.0,79.0,85.0,16500
R_IRL010_2026,IRL010,2026,55.4,0,0,0,0,0,19.0,40.0,79.0,75.0,15800
R_IRL004_2026,IRL004,2026,54.8,0,0,0,0,0,12.0,65.0,75.0,82.0,14200
R_IRL024_2026,IRL024,2026,53.2,480,0,0,0,0,14.5,9.0,80.0,83.0,18500
R_IRL003_2026,IRL003,2026,51.0,0,0,0,0,0,18.0,45.0,78.0,79.0,22276
