tuition_id,course_id,university_id,academic_year,residency,tuition_fee,scholarship_amount,tuition_deposit,currency
TF_TCD001_R_EU,C_TCD001_RES_GEN,IRL001,2026,EU,6500.00,0.00,0.00,EUR
TF_TCD001_R_INTL,C_TCD001_RES_GEN,IRL001,2026,INTL,15500.00,0.00,500.00,EUR
TF_UCD002_R01_EU,C_UCD002_RES_AG,IRL002,2026,EU,6310.00,0.00,0.00,EUR
TF_UCD002_R01_INTL,C_UCD002_RES_AG,IRL002,2026,INTL,15440.00,0.00,500.00,EUR
TF_UCC009_R01_EU,C_UCC009_RES_01,IRL009,2026,EU,5840.00,0.00,0.00,EUR
TF_UCC009_R01_INTL,C_UCC009_RES_01,IRL009,2026,INTL,16000.00,0.00,1000.00,EUR
TF_GAL011_R01_EU,C_GAL011_RES_01,IRL011,2026,EU,6500.00,0.00,0.00,EUR
TF_GAL011_R01_INTL,C_GAL011_RES_01,IRL011,2026,INTL,19500.00,0.00,500.00,EUR
TF_UL015_R01_EU,C_UL015_RES_01,IRL015,2026,EU,5654.00,0.00,0.00,EUR
TF_UL015_R01_INTL,C_UL015_RES_01,IRL015,2026,INTL,16500.00,0.00,600.00,EUR
TF_UL015_R02_EU,C_UL015_RES_02,IRL015,2026,EU,5654.00,0.00,0.00,EUR
TF_UL015_R02_INTL,C_UL015_RES_02,IRL015,2026,INTL,13800.00,0.00,600.00,EUR
TF_UL015_R03_EU,C_UL015_RES_03,IRL015,2026,EU,5654.00,0.00,0.00,EUR
TF_UL015_R03_INTL,C_UL015_RES_03,IRL015,2026,INTL,14500.00,0.00,600.00,EUR
TF_UL015_R04_EU,C_UL015_RES_04,IRL015,2026,EU,5654.00,0.00,0.00,EUR
TF_UL015_R04_INTL,C_UL015_RES_04,IRL015,2026,INTL,13800.00,0.00,600.00,EUR
TF_UL015_R05_EU,C_UL015_RES_05,IRL015,2026,EU,6500.00,0.00,0.00,EUR
TF_UL015_R05_INTL,C_UL015_RES_05,IRL015,2026,INTL,15500.00,0.00,600.00,EUR
TF_MIC016_R01_EU,C_MIC016_RES_01,IRL016,2026,EU,4500.00,0.00,0.00,EUR
TF_MIC016_R01_INTL,C_MIC016_RES_01,IRL016,2026,INTL,12500.00,0.00,500.00,EUR
TF_MIC016_R02_EU,C_MIC016_RES_02,IRL016,2026,EU,4500.00,0.00,0.00,EUR
TF_MIC016_R02_INTL,C_MIC016_RES_02,IRL016,2026,INTL,12500.00,0.00,500.00,EUR
TF_RCS017_R01_EU,C_RCS017_RES_01,IRL017,2026,EU,6500.00,0.00,0.00,EUR
TF_RCS017_R01_INTL,C_RCS017_RES_01,IRL017,2026,INTL,15500.00,0.00,1000.00,EUR
TF_RCS017_R02_EU,C_RCS017_RES_02,IRL017,2026,EU,8500.00,0.00,0.00,EUR
TF_RCS017_R02_INTL,C_RCS017_RES_02,IRL017,2026,INTL,18500.00,0.00,1000.00,EUR
TF_RCS017_R03_EU,C_RCS017_RES_03,IRL017,2026,EU,6500.00,0.00,0.00,EUR
TF_RCS017_R03_INTL,C_RCS017_RES_03,IRL017,2026,INTL,15500.00,0.00,1000.00,EUR
TF_MAY018_R01_EU,C_MAY018_RES_01,IRL018,2026,EU,6200.00,0.00,0.00,EUR
TF_MAY018_R01_INTL,C_MAY018_RES_01,IRL018,2026,INTL,15000.00,0.00,500.00,EUR
TF_MAY018_R02_EU,C_MAY018_RES_02,IRL018,2026,EU,6500.00,0.00,0.00,EUR
TF_MAY018_R02_INTL,C_MAY018_RES_02,IRL018,2026,INTL,16500.00,0.00,500.00,EUR
TF_IAD019_R01_EU,C_IAD019_RES_01,IRL019,2026,EU,5500.00,0.00,0.00,EUR
TF_IAD019_R01_INTL,C_IAD019_RES_01,IRL019,2026,INTL,13000.00,0.00,500.00,EUR
TF_DCU020_R01_EU,C_DCU020_RES_BUS,IRL020,2026,EU,5500.00,0.00,0.00,EUR
TF_DCU020_R01_INTL,C_DCU020_RES_BUS,IRL020,2026,INTL,11000.00,0.00,500.00,EUR
TF_DCU020_R02_EU,C_DCU020_RES_SCI,IRL020,2026,EU,5500.00,0.00,0.00,EUR
TF_DCU020_R02_INTL,C_DCU020_RES_SCI,IRL020,2026,INTL,15000.00,0.00,500.00,EUR
TF_ATU022_R01_EU,C_ATU022_RES_SCI,IRL022,2026,EU,5000.00,0.00,0.00,EUR
TF_ATU022_R01_INTL,C_ATU022_RES_SCI,IRL022,2026,INTL,12000.00,0.00,500.00,EUR
TF_SET023_R01_EU,C_SET023_RES_COM,IRL023,2026,EU,5500.00,0.00,0.00,EUR
TF_SET023_R01_INTL,C_SET023_RES_COM,IRL023,2026,INTL,13500.00,0.00,500.00,EUR
TF_STP025_R01_EU,C_STP025_RES_THE,IRL025,2026,EU,4500.00,0.00,0.00,EUR
TF_STP025_R01_INTL,C_STP025_RES_THE,IRL025,2026,INTL,11000.00,0.00,500.00,EUR
TF_TUS026_R01_EU,C_TUS026_RES_SCI,IRL026,2026,EU,5500.00,0.00,0.00,EUR
TF_TUS026_R01_INTL,C_TUS026_RES_SCI,IRL026,2026,INTL,13500.00,0.00,500.00,EUR
TF_TUD027_R01_EU,C_TUD027_RES_ART,IRL027,2026,EU,6250.00,0.00,0.00,EUR
TF_TUD027_R01_INTL,C_TUD027_RES_ART,IRL027,2026,INTL,14500.00,0.00,500.00,EUR
TF_ABE001_R01_INTL,C_ABE001_RES_01,UK001,2026,INTL,22000.00,3000.00,7500.00,GBP
TF_ABE001_R01_HOME,C_ABE001_RES_01,UK001,2026,HOME,5238.00,0.00,0.00,GBP
TF_ABE001_R02_INTL,C_ABE001_RES_02,UK001,2026,INTL,22000.00,3000.00,7500.00,GBP
TF_ABE001_R02_HOME,C_ABE001_RES_02,UK001,2026,HOME,5238.00,0.00,0.00,GBP
TF_ABE001_R03_INTL,C_ABE001_RES_03,UK001,2026,INTL,22000.00,3000.00,7500.00,GBP
TF_ABE001_R03_HOME,C_ABE001_RES_03,UK001,2026,HOME,5238.00,0.00,0.00,GBP
TF_ABE001_R04_INTL,C_ABE001_RES_04,UK001,2026,INTL,22000.00,3000.00,7500.00,GBP
TF_ABE001_R04_HOME,C_ABE001_RES_04,UK001,2026,HOME,5238.00,0.00,0.00,GBP
TF_ABE001_R05_INTL,C_ABE001_RES_05,UK001,2026,INTL,22000.00,3000.00,7500.00,GBP
TF_ABE001_R05_HOME,C_ABE001_RES_05,UK001,2026,HOME,5238.00,0.00,0.00,GBP
TF_ABE001_R06_INTL,C_ABE001_RES_06,UK001,2026,INTL,22000.00,3000.00,7500.00,GBP
TF_ABE001_R06_HOME,C_ABE001_RES_06,UK001,2026,HOME,5238.00,0.00,0.00,GBP
TF_ABE001_R07_INTL,C_ABE001_RES_07,UK001,2026,INTL,22000.00,3000.00,7500.00,GBP
TF_ABE001_R07_HOME,C_ABE001_RES_07,UK001,2026,HOME,5238.00,0.00,0.00,GBP
TF_ABE001_R08_INTL,C_ABE001_RES_08,UK001,2026,INTL,22000.00,3000.00,7500.00,GBP
TF_ABE001_R08_HOME,C_ABE001_RES_08,UK001,2026,HOME,5238.00,0.00,0.00,GBP
TF_ABE001_R09_INTL,C_ABE001_RES_09,UK001,2026,INTL,22000.00,3000.00,7500.00,GBP
TF_ABE001_R09_HOME,C_ABE001_RES_09,UK001,2026,HOME,5238.00,0.00,0.00,GBP
TF_ABE002_R01_INTL,C_ABE002_RES_01,UK002,2026,INTL,18500.00,2000.00,3000.00,GBP
TF_ABE002_R01_HOME,C_ABE002_RES_01,UK002,2026,HOME,5200.00,0.00,0.00,GBP
TF_ABE002_R02_INTL,C_ABE002_RES_02,UK002,2026,INTL,18500.00,2000.00,3000.00,GBP
TF_ABE002_R02_HOME,C_ABE002_RES_02,UK002,2026,HOME,5200.00,0.00,0.00,GBP
