tuition_id,course_id,university_id,academic_year,residency,tuition_fee,scholarship_amount,tuition_deposit,currency
TF_ICD003_01_INTL,C_ICD003_01,IRL003,2026,INTL,8500.00,500.00,1000.00,EUR
TF_ICD003_01_EU,C_ICD003_01,IRL003,2026,EU,5500.00,0.00,0.00,EUR
TF_ACD004_01_INTL,C_ACD004_01,IRL004,2026,INTL,13000.00,1000.00,1500.00,EUR
TF_ACD004_01_EU,C_ACD004_01,IRL004,2026,EU,7500.00,0.00,0.00,EUR
TF_GRI005_01_INTL,C_GRI005_01,IRL005,2026,INTL,12500.00,1000.00,1000.00,EUR
TF_GRI005_01_EU,C_GRI005_01,IRL005,2026,EU,5850.00,0.00,0.00,EUR
TF_GRI005_02_INTL,C_GRI005_02,IRL005,2026,INTL,12500.00,1000.00,1000.00,EUR
TF_GRI005_02_EU,C_GRI005_02,IRL005,2026,EU,5850.00,0.00,0.00,EUR
TF_GRI005_03_INTL,C_GRI005_03,IRL005,2026,INTL,12500.00,1000.00,1000.00,EUR
TF_GRI005_03_EU,C_GRI005_03,IRL005,2026,EU,5850.00,0.00,0.00,EUR
TF_DBS006_01_INTL,C_DBS006_01,IRL006,2026,INTL,10365.00,500.00,1000.00,EUR
TF_DBS006_01_EU,C_DBS006_01,IRL006,2026,EU,4800.00,0.00,0.00,EUR
TF_DBS006_02_INTL,C_DBS006_02,IRL006,2026,INTL,10365.00,500.00,1000.00,EUR
TF_DBS006_02_EU,C_DBS006_02,IRL006,2026,EU,5200.00,0.00,0.00,EUR
TF_DBS006_03_INTL,C_DBS006_03,IRL006,2026,INTL,10365.00,500.00,1000.00,EUR
TF_DBS006_03_EU,C_DBS006_03,IRL006,2026,EU,4800.00,0.00,0.00,EUR
TF_UCC009_01_INTL,C_UCC009_01,IRL009,2026,INTL,10500.00,1000.00,1000.00,EUR
TF_UCC009_01_EU,C_UCC009_01,IRL009,2026,EU,3000.00,0.00,0.00,EUR
TF_DKIT007_01_INTL,C_DKIT007_01,IRL007,2026,INTL,10950.00,1000.00,1000.00,EUR
TF_DKIT007_01_EU,C_DKIT007_01,IRL007,2026,EU,3000.00,0.00,0.00,EUR
TF_DKIT007_02_INTL,C_DKIT007_02,IRL007,2026,INTL,10950.00,1000.00,1000.00,EUR
TF_DKIT007_02_EU,C_DKIT007_02,IRL007,2026,EU,3000.00,0.00,0.00,EUR
TF_DOR010_01_INTL,C_DOR010_01,IRL010,2026,INTL,10500.00,1000.00,1000.00,EUR
TF_DOR010_01_EU,C_DOR010_01,IRL010,2026,EU,5950.00,0.00,0.00,EUR
TF_DOR010_02_INTL,C_DOR010_02,IRL010,2026,INTL,10500.00,1000.00,1000.00,EUR
TF_DOR010_02_EU,C_DOR010_02,IRL010,2026,EU,5950.00,0.00,0.00,EUR
TF_MTU012_01_INTL,C_MTU012_01,IRL012,2026,INTL,13500.00,1500.00,1000.00,EUR
TF_MTU012_01_EU,C_MTU012_01,IRL012,2026,EU,3000.00,0.00,0.00,EUR
TF_MTU012_02_INTL,C_MTU012_02,IRL012,2026,INTL,13500.00,1500.00,1000.00,EUR
TF_MTU012_02_EU,C_MTU012_02,IRL012,2026,EU,3000.00,0.00,0.00,EUR
TF_MTU012_03_INTL,C_MTU012_03,IRL012,2026,INTL,13500.00,1500.00,1000.00,EUR
TF_MTU012_03_EU,C_MTU012_03,IRL012,2026,EU,3000.00,0.00,0.00,EUR
TF_ATU013_01_INTL,C_ATU013_01,IRL013,2026,INTL,12000.00,1000.00,1000.00,EUR
TF_ATU013_01_EU,C_ATU013_01,IRL013,2026,EU,3000.00,0.00,0.00,EUR
TF_ATU013_02_INTL,C_ATU013_02,IRL013,2026,INTL,12000.00,1000.00,1000.00,EUR
TF_ATU013_02_EU,C_ATU013_02,IRL013,2026,EU,3000.00,0.00,0.00,EUR
TF_ATU013_03_INTL,C_ATU013_03,IRL013,2026,INTL,12000.00,1000.00,1000.00,EUR
TF_ATU013_03_EU,C_ATU013_03,IRL013,2026,EU,3000.00,0.00,0.00,EUR
TF_CCT014_01_INTL,C_CCT014_01,IRL014,2026,INTL,8600.00,500.00,1000.00,EUR
TF_CCT014_01_EU,C_CCT014_01,IRL014,2026,EU,4500.00,0.00,0.00,EUR
TF_IADT019_01_INTL,C_IADT019_01,IRL019,2026,INTL,13500.00,1000.00,1000.00,EUR
TF_IADT019_01_EU,C_IADT019_01,IRL019,2026,EU,3000.00,0.00,0.00,EUR
TF_NCI021_01_INTL,C_NCI021_01,IRL021,2026,INTL,10000.00,1000.00,1000.00,EUR
TF_NCI021_01_EU,C_NCI021_01,IRL021,2026,EU,5000.00,0.00,0.00,EUR
TF_ATU022_01_INTL,C_ATU022_01,IRL022,2026,INTL,12000.00,1000.00,1000.00,EUR
TF_ATU022_01_EU,C_ATU022_01,IRL022,2026,EU,3000.00,0.00,0.00,EUR
TF_SET023_01_INTL,C_SET023_01,IRL023,2026,INTL,10500.00,1000.00,1000.00,EUR
TF_SET023_01_EU,C_SET023_01,IRL023,2026,EU,3000.00,0.00,0.00,EUR
TF_SET023_02_INTL,C_SET023_02,IRL023,2026,INTL,10500.00,1000.00,1000.00,EUR
TF_SET023_02_EU,C_SET023_02,IRL023,2026,EU,3000.00,0.00,0.00,EUR
TF_SET023_03_INTL,C_SET023_03,IRL023,2026,INTL,10500.00,1000.00,1000.00,EUR
TF_SET023_03_EU,C_SET023_03,IRL023,2026,EU,3000.00,0.00,0.00,EUR
TF_TUS026_01_INTL,C_TUS026_01,IRL026,2026,INTL,10500.00,1000.00,1000.00,EUR
TF_TUS026_01_EU,C_TUS026_01,IRL026,2026,EU,3000.00,0.00,0.00,EUR
TF_TUS026_02_INTL,C_TUS026_02,IRL026,2026,INTL,10500.00,1000.00,1000.00,EUR
TF_TUS026_02_EU,C_TUS026_02,IRL026,2026,EU,3000.00,0.00,0.00,EUR
TF_TUS026_03_INTL,C_TUS026_03,IRL026,2026,INTL,10500.00,1000.00,1000.00,EUR
TF_TUS026_03_EU,C_TUS026_03,IRL026,2026,EU,3000.00,0.00,0.00,EUR
TF_TUD027_01_INTL,C_TUD027_01,IRL027,2026,INTL,12500.00,1500.00,1000.00,EUR
TF_TUD027_01_EU,C_TUD027_01,IRL027,2026,EU,3000.00,0.00,0.00,EUR
